occupationTitle,jobsCreated
First-Line Supervisors of Retail Sales Workers,156599
First-Line Supervisors of Non-Retail Sales Workers,14827
Cashiers,2744
Counter and Rental Clerks,38993
Parts Salespersons,3659
Retail Salespersons,2359
Advertising Sales Agents,57094
Insurance Sales Agents,963
"Securities, Commodities, and Financial Services Sales Agents",1974
Travel Agents,1492
"Sales Representatives, Services, All Other",385
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10446
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",2022
Demonstrators and Product Promoters,11650
Real Estate Sales Agents,578
Telemarketers,1877
"Sales and Related Workers, All Other",4766
